Arica	1	1	13	18	0
Arica	2	1	7	23	0
Arica	3	1	5	24	0
Arica	4	1	7	24	0
Arica	5	1	13	30	0
Arica	6	1	6	15	0
Arica	7	1	11	16	0
Arica	8	1	10	15	0
Arica	9	1	8	21	0
Arica	10	1	6	25	0
Arica	11	1	12	28	0
Arica	12	1	13	29	0
Arica	13	1	10	16	0
Arica	14	1	5	24	0
Arica	15	1	10	28	0
Arica	16	1	9	22	0
Arica	17	1	7	20	0
Arica	18	1	9	17	0
Arica	19	1	7	15	0
Arica	20	1	6	21	0
Arica	21	1	12	19	0
Arica	22	1	12	23	0
Arica	23	1	7	29	0
Arica	24	1	6	28	0
Arica	25	1	7	27	0
Arica	26	1	6	24	0
Arica	27	1	7	21	0
Arica	28	1	10	27	0
Arica	29	1	8	22	0
Arica	30	1	7	28	0
Arica	31	1	13	15	0
La serena	1	1	5	25	0
La serena	2	1	7	22	0
La serena	3	1	12	19	0
La serena	4	1	10	28	0
La serena	5	1	6	25	0
La serena	6	1	7	30	0
La serena	7	1	8	26	0
La serena	8	1	10	23	0
La serena	9	1	8	28	0
La serena	10	1	9	22	0
La serena	11	1	6	24	0
La serena	12	1	12	29	0
La serena	13	1	6	27	0
La serena	14	1	10	18	0
La serena	15	1	5	26	0
La serena	16	1	8	15	0
La serena	17	1	10	27	0
La serena	18	1	11	23	0
La serena	19	1	12	29	0
La serena	20	1	5	19	0
La serena	21	1	8	28	0
La serena	22	1	12	20	0
La serena	23	1	11	24	0
La serena	24	1	8	28	0
La serena	25	1	9	24	0
La serena	26	1	7	18	0
La serena	27	1	10	22	0
La serena	28	1	10	15	0
La serena	29	1	12	17	0
La serena	30	1	9	21	0
La serena	31	1	7	18	0
Santiago	1	1	8	27	0
Santiago	2	1	9	29	0
Santiago	3	1	6	26	0
Santiago	4	1	13	25	0
Santiago	5	1	9	23	0
Santiago	6	1	5	20	0
Santiago	7	1	12	28	0
Santiago	8	1	8	17	0
Santiago	9	1	12	29	0
Santiago	10	1	6	14	0
Santiago	11	1	8	27	0
Santiago	12	1	9	30	0
Santiago	13	1	11	30	0
Santiago	14	1	9	29	0
Santiago	15	1	9	29	0
Santiago	16	1	12	27	0
Santiago	17	1	6	29	0
Santiago	18	1	9	30	0
Santiago	19	1	7	23	0
Santiago	20	1	8	15	0
Santiago	21	1	13	17	0
Santiago	22	1	9	17	0
Santiago	23	1	13	22	0
Santiago	24	1	9	26	0
Santiago	25	1	8	16	0
Santiago	26	1	8	20	0
Santiago	27	1	5	25	0
Santiago	28	1	11	23	0
Santiago	29	1	9	27	0
Santiago	30	1	12	19	0
Santiago	31	1	13	14	0
Valparaiso	1	1	8	14	0
Valparaiso	2	1	9	23	0
Valparaiso	3	1	8	16	0
Valparaiso	4	1	8	21	0
Valparaiso	5	1	13	23	0
Valparaiso	6	1	10	16	0
Valparaiso	7	1	13	19	0
Valparaiso	8	1	5	30	0
Valparaiso	9	1	12	17	0
Valparaiso	10	1	9	29	0
Valparaiso	11	1	7	20	0
Valparaiso	12	1	11	24	0
Valparaiso	13	1	5	18	0
Valparaiso	14	1	6	19	0
Valparaiso	15	1	6	19	0
Valparaiso	16	1	13	20	0
Valparaiso	17	1	12	17	0
Valparaiso	18	1	11	15	0
Valparaiso	19	1	10	21	0
Valparaiso	20	1	6	15	0
